"CODIGO","DESCRICAO"
"248","UNIAO SOVIETICA"
"249","URUGUAI"
"250","UZBEQUISTAO"
"251","VANUATU"
"252","VATICANO"
"253","VENEZUELA"
"254","VIETNA"
"255","VIRGENS NORTE-AMERICANAS"
"256","VIRGENS BRITANICAS,ILHAS"
"257","WALLIS, ILHA"
"258","YUGOSLAVIA"
"259","ZAIRE"
"260","ZAMBIA"
"261","ZIMBABUE"
"262","ZONA DO CANAL DO PANAMA"
